Alcol,Life Expectency,Country
2,76,Bahrain
1,71,Azerbaijan
1,58,Benin
1,64,Cambodia
1,49,Central African Republic
2,59,Congo
1,61,Djibouti
3,72,El Salvador
1,61,Eritrea
1,59,Ethiopia
1,69,Fiji
2,59,Gambia
1,61,Ghana
2,72,Guatemala
2,55,Guinea-Bissau
2,65,India
2,81,Israel
1,73,Jordan
2,57,Kenya
2,69,Kyrgyzstan
2,74,Lebanon
2,49,Lesotho
1,63,Madagascar
1,50,Malawi
1,76,Maldives
3,73,Mauritius
2,66,Mongolia
3,74,Montenegro
1,72,Morocco
1,53,Mozambique
1,75,Oman
1,62,Papua New Guinea
1,77,Qatar
3,74,Samoa
2,81,Singapore
1,68,Solomon Islands
2,73,Sri Lanka
1,62,Sudan
1,57,Togo
1,73,Tonga
1,74,Tunisia
1,74,Turkey
3,65,Turkmenistan
2,76,United Arab Emirates
2,68,Uzbekistan
1,71,Vanuatu
2,54,Zambia
