Country,Continent,lifeExp,pop,gdpPercap
Afghanistan,Asia,58.19375,9972259.813,340.0154255
Algeria,Africa,73.61875,21649827.44,2847.853392
Angola,Africa,49.01875,10147099.19,1975.143045
Albania,Europe,75.15625,696911.625,2119.726679
Bangladesh,Asia,69.3,42985163.88,443.561481
Argentina,South America,75.15625,20121204.5,6998.575103
Armenia,Europe,73.4,1015164.625,1999.986318
Austria,Europe,81.48125,6474879.875,33827.47631
Azerbaijan,Europe,70.73125,2157370.5,3302.947807
Australia,Oceania,81.8125,4587009.875,34637.56505
Belarus,Europe,69.90625,6371866.813,3811.525348
Belgium,Europe,80.68125,2884042.563,16915.306
Belize,North America,69.26875,170392.875,3933.012175
Benin,Africa,57.56875,3942978.938,561.167968
Bhutan,Asia,66.1625,492584.9375,1353.986946
Bosnia and Herzegovina,Europe,75.96875,1986993.063,2245.026024
Botswana,Africa,56.05,1063867.375,4498.285431
Brazil,South America,73.38125,88128071.25,6143.161794
Bulgaria,Europe,72.85,5290923.938,4938.981821
Burundi,Africa,55.5375,3915446.688,137.8153213
Cambodia,Asia,64.34375,7145967.438,466.1968781
Cameroon,Africa,54.01875,9967291.938,781.0160044
Canada,North America,81.6875,11364053.81,29382.90752
Central African Republic,Africa,48.5125,2016546.125,363.0559049
Chad,Africa,50.3875,4114092.063,484.7916941
Chile,South America,79.45,14671763.94,6202.344364
China,Asia,74.2625,321812.0625,2345.303158
Colombia,South America,73.2875,31767432.63,3321.660748
Comoros,Africa,61.58125,532200.6875,630.3843341
Costa Rica,North America,78.59375,2309299.438,3957.227286
Croatia,Europe,76.11875,1159772.375,9056.784719
Cyprus,Europe,79.675,390274.375,13898.8855
Denmark,Europe,79.25625,4260081.375,33067.40792
Djibouti,Africa,60.75625,634116.1875,897.9998707
Dominican Republic,North America,72.34375,4448642.688,3509.499186
Ecuador,South America,74.725,8710592.063,2005.352468
El Salvador,North America,71.74375,2930826.5,2517.83463
Equatorial Guinea,Africa,55.3125,556765.3125,7902.410789
Eritrea,Africa,60.6875,2071919.333,259.3953563
Estonia,Europe,74.94375,791848.6875,8340.432949
Ethiopia,Africa,59.1125,43950760.75,264.97095
Fiji,Oceania,68.7125,650205.125,2947.612689
Finland,Europe,80.7125,3493082.313,25268.64976
France,Europe,82.21875,27581733.13,26465.55138
Gabon,Africa,62.24375,1007302.313,5179.256189
Georgia,Europe,73.50625,10152.375,2158.280869
Germany,Europe,81.175,38757347.44,24337.7491
Ghana,Africa,60.8625,11534782.63,834.3761008
Greece,Europe,81.21875,1550208.438,16454.23587
Guatemala,North America,71.73125,5933907.5,2365.834474
Guinea,Africa,56.0125,4252798.938,279.4647979
Guinea-Bissau,Africa,55.36875,981883.1875,384.2149305
Guyana,South America,65.6375,494437.25,1783.880937
Haiti,North America,59.86875,3852657.688,434.3601282
Honduras,North America,72.99375,2832386.563,1421.788083
Hungary,Europe,73.825,1604902.25,8513.641831
Iceland,Europe,82.44375,186177.625,30159.50291
India,Asia,65.41875,421467690.9,837.9200509
Indonesia,Asia,67.55625,116555259.4,1669.116783
Iraq,Asia,70.35625,18572840.81,3542.557537
Ireland,Europe,80.15,3599794.563,33835.27201
Israel,Asia,81.3,27862.875,18860.47602
Italy,Europe,82.1875,27643788.94,21234.78237
Jamaica,North America,74.29375,1500309.125,2509.54647
Japan,Asia,82.5375,97384.0625,24892.54478
Jordan,Asia,72.9875,4895075.688,1822.629926
Kazakhstan,Asia,66.7625,8340547.438,4040.586664
Kenya,Africa,57.48125,16826787.63,716.7700679
Kiribati,Oceania,65.15,35919.9375,1175.292416
Latvia,Europe,73.73125,1174562.688,7951.824897
Lebanon,Asia,74.2,2489104.5,4696.192379
Lesotho,Africa,48.78125,1200527.563,794.5230103
Liberia,Africa,57.525,2788942.625,246.281748
Lithuania,Europe,72.80625,1926212.125,9007.458623
Luxembourg,Europe,80.78125,265276.375,53257.01274
Madagascar,Africa,62.74375,10950267.44,314.0413296
Malawi,Africa,49.89375,6700263.063,237.504042
Malaysia,Asia,73.75625,11529155.81,4904.938992
Maldives,Asia,75.5375,3334.25,3818.296962
Mali,Africa,54.9375,5781492.875,530.5121701
Malta,Europe,80.3625,224742.4375,10114.79794
Mauritania,Africa,62.8,1262286.188,635.049609
Mauritius,Africa,72.7125,663332.875,5299.579824
Mexico,North America,75.71875,27585265.19,5179.330807
Mongolia,Asia,65.8875,2037470.688,1984.688023
Montenegro,Europe,74.5,329668.1875,4676.514278
Morocco,Africa,72.15625,20591653.94,1936.391438
Mozambique,Africa,53.39375,11729745.94,365.0682381
Namibia,Africa,60.4,1025527.125,3042.603507
Nepal,Asia,66.48125,14633755.56,395.3284679
Netherlands,Europe,81.13125,9775704.375,34964.7198
Nicaragua,North America,73.45,1999846.938,957.9039711
Niger,Africa,56.98125,11240718.94,259.782441
Nigeria,Africa,51.35625,70877003.06,1360.139877
Norway,Europe,81.79375,2614432.313,27434.94693
Pakistan,Asia,64.5,69027961.81,666.1110516
Panama,North America,76.4875,1955021.875,5417.76889
Papua New Guinea,Oceania,61.68125,4813446,758.0976163
Paraguay,South America,73.1125,3299080.625,1983.404335
Peru,South America,73.6625,16854321.69,2928.543542
Philippines,Asia,67.575,37265400.31,1397.136107
Poland,Europe,75.65,16053249.63,6792.5636
Portugal,Europe,79.99375,1032225.375,11598.62553
Romania,Europe,74.05,9206345.625,4258.940054
Russian Federation,Asia,67.7625,59762085.63,6545.137359
Rwanda,Africa,59.3125,3735506.563,300.0180171
Samoa,Oceania,73.61875,131440.125,2121.620649
Sao Tome and Principe,Africa,65.1625,108853.9375,771.0348343
Senegal,Africa,62.56875,5413842.688,274.6111661
Serbia,Europe,73.95625,3608279.875,3674.542408
Seychelles,Africa,72.375,61543.8125,6496.302397
Sierra Leone,Africa,46.1125,3336264.563,271.5055613
Slovenia,Europe,79.73125,401279.0625,11441.04438
Solomon Islands,Oceania,67.7125,329044.1875,801.9123832
South Africa,Africa,57.5,29213839.44,4869.427044
South Sudan,Africa,53.875,3750827.125,1092.233631
Spain,Europe,82.06875,26542854.13,17093.45974
Sri Lanka,Asia,73.4,10844.8125,1040.11019
Sudan,Africa,61.825,18046515.13,1192.797953
Suriname,South America,70.08125,190916.625,4781.216822
Swaziland,Africa,51.325,457303.0625,2165.090838
Sweden,Europe,82.51875,5514868.313,29334.99064
Switzerland,Europe,82.33125,5913241.813,57362.8746
Tajikistan,Asia,66.65625,4751355,335.8417252
Thailand,Asia,73.08125,31170509.5,3494.781702
Togo,Africa,56.6625,3722045.563,317.2040921
Tonga,Oceania,72.53125,26589.8125,1981.555186
Trinidad and Tobago,North America,71.06875,776133.125,7741.74809
Tunisia,Africa,74.35625,3274493.188,3044.081488
Turkey,Asia,73.9125,33501352.81,3983.917722
Turkmenistan,Asia,64.61875,2635550.188,2511.61154
Uganda,Africa,55.70625,15540587.13,421.0484963
Ukraine,Europe,69.9375,10004933.25,1577.293329
Uruguay,South America,76.075,2396771.125,7192.584875
Uzbekistan,Asia,68.03125,903631.6875,651.0923589
Vanuatu,Oceania,71.3875,123096.1875,2000.245518
Zambia,Africa,53.90625,6260246.438,811.8118405
Zimbabwe,Africa,50.4875,8021343.063,410.9801938
