GDP,LifeExpectency,Average_Expenditure
G1,L4,2.81
G1,L1,7.17
G1,L2,6.91
G10,L9,6.16
G10,L8,4.37
G10,L10,6.47
G10,L7,5.65
G2,L5,3.92
G2,L2,6.47
G2,L1,7.61
G2,L3,3.42
G2,L4,6.12
G3,L4,7.05
G3,L10,2.93
G3,L5,6.55
G3,L3,6.11
G3,L2,8.6
G3,L7,6.22
G3,L6,4.5
G4,L9,6.91
G4,L2,7.32
G4,L4,5.23
G4,L3,6.74
G4,L5,6.49
G4,L6,5.2
G4,L8,3.18
G5,L4,5.96
G5,L2,7.52
G5,L3,8.24
G5,L9,7.4
G5,L7,4.32
G5,L6,5.25
G5,L5,5.05
G6,L8,2.83
G6,L6,5.6
G6,L10,7.31
G6,L4,5.38
G6,L3,6.86
G7,L7,4.82
G7,L8,5.7
G7,L10,3.82
G7,L5,6.76
G7,L6,6.11
G8,L7,5.74
G8,L9,4.67
G8,L5,5.25
G8,L10,5.22
G8,L8,4.94
G8,L6,3.95
G9,L7,5.76
G9,L10,5.73
G9,L8,3.63
G9,L9,6.35
G9,L6,2.85
