GDP,LifeExpectency,Average_Expenditure
G10,L9,6.1575
G10,L10,6.4725
G10,L8,4.373333333
G10,L7,5.65
G9,L10,5.7325
G9,L7,5.765
G9,L9,6.35
G9,L6,2.85
G9,L8,3.634
G8,L8,4.94
G8,L9,4.67
G8,L7,5.74
G8,L10,5.215
G8,L5,5.25
G8,L6,3.95
G7,L7,4.818333333
G7,L8,5.7
G7,L10,3.815
G7,L5,6.756
G7,L6,6.11
G6,L6,5.595
G6,L3,6.856666667
G6,L4,5.375
G6,L10,7.31
G6,L8,2.83
G5,L7,4.32
G5,L9,7.4
G5,L4,5.956666667
G5,L2,7.525
G5,L6,5.2475
G5,L5,5.05
G5,L3,8.24
G4,L4,5.233333333
G4,L9,6.91
G4,L6,5.195
G4,L3,6.745
G4,L5,6.4925
G4,L8,3.18
G4,L2,7.315
G3,L6,4.5
G3,L7,6.22
G3,L3,6.11
G3,L10,2.93
G3,L4,7.05
G3,L5,6.55
G3,L2,8.6
G2,L5,3.92
G2,L3,3.425
G2,L2,6.47
G2,L4,6.12
G2,L1,7.608571429
G1,L2,6.908333333
G1,L1,7.168888889
G1,L4,2.81
