country,abbreviation,value
less than 1000000,ABB,73.2
less than 1000000,ABB,74.5
less than 1000000,ABB,72.6
less than 1000000,ABB,78.2
less than 1000000,ABB,78
less than 1000000,ABB,71.8
less than 1000000,ABB,73.4
less than 1000000,ABB,74.3
less than 1000000,ABB,75
less than 1000000,ABB,75.4
less than 1000000,ABB,72.2
less than 1000000,ABB,77.3
less than 1000000,ABB,77.6
less than 1000000,ABB,77.9
less than 1000000,ABB,73.9
less than 1000000,ABB,72.7
less than 1000000,ABB,74.7
less than 1000000,ABB,75.9
less than 1000000,ABB,74.8
less than 1000000,ABB,74.9
less than 1000000,ABB,74.4
less than 1000000,ABB,79.3
less than 1000000,ABB,81
less than 1000000,ABB,67
less than 1000000,ABB,72.2
less than 1000000,ABB,75.9
less than 1000000,ABB,73.3
less than 1000000,ABB,82.6
less than 1000000,ABB,72.7
less than 1000000,ABB,83
less than 1000000,ABB,72.5
less than 1000000,ABB,65.2
less than 1000000,ABB,48.6
less than 1000000,ABB,66.6
less than 1000000,ABB,46.4
less than 1000000,ABB,73.8
less than 1000000,ABB,73.9
less than 1000000,ABB,74.5
less than 1000000,ABB,74.5
less than 1000000,ABB,74.5
less than 1000000,ABB,77.5
less than 1000000,ABB,74.6
less than 1000000,ABB,74.7
less than 1000000,ABB,69.9
less than 1000000,ABB,76.9
less than 1000000,ABB,74.9
less than 1000000,ABB,76.8
less than 1000000,ABB,73.3
less than 1000000,ABB,67.9
less than 1000000,ABB,73
less than 1000000,ABB,74.5
less than 1000000,ABB,75.4
less than 1000000,ABB,74.5
less than 1000000,ABB,74.2
less than 1000000,ABB,73.9
less than 1000000,ABB,72.3
less than 1000000,ABB,73.2
less than 1000000,ABB,73.9
less than 1000000,ABB,72.3
less than 1000000,ABB,71.7
less than 1000000,ABB,77.8
less than 1000000,ABB,74.7
less than 1000000,ABB,75.8
less than 1000000,ABB,75.4
less than 1000000,ABB,75.2
less than 1000000,ABB,79.3
less than 1000000,ABB,63.3
less than 1000000,ABB,53.7
less than 1000000,ABB,73
less than 1000000,ABB,72.8
less than 1000000,ABB,79
less than 1000000,ABB,69.3
less than 1000000,ABB,65.6
less than 1000000,ABB,72.6
less than 1000000,ABB,61.7
less than 1000000,ABB,69.5
less than 1000000,ABB,75.6
less than 1000000,ABB,75.4
less than 1000000,ABB,78.9
less than 1000000,ABB,79.3
less than 1000000,ABB,58
less than 1000000,ABB,73
less than 1000000,ABB,70
less than 1000000,ABB,80
less than 1000000,ABB,84
less than 1000000,ABB,81
less than 1000000,ABB,62.9
less than 1000000,ABB,68.3
less than 1000000,ABB,65.6
less than 1000000,ABB,84
less than 1000000,ABB,65.9
less than 1000000,ABB,56.1
less than 1000000,ABB,81.8
less than 1000000,ABB,72
less than 1000000,ABB,58.5
less than 1000000,ABB,68.4
less than 1000000,ABB,82.5
less than 1000000,ABB,64.1
less than 1000000,ABB,66.6
less than 1000000,ABB,72.2
less than 1000000,ABB,82.1
less than 1000000,ABB,72.7
less than 1000000,ABB,59.8
less than 1000000,ABB,72.4
less than 1000000,ABB,65
less than 1000000,ABB,64.8
less than 1000000,ABB,65.1
less than 1000000,ABB,88
less than 1000000,ABB,71.6
less than 1000000,ABB,66.3
less than 1000000,ABB,66.1
less than 1000000,ABB,72.4
less than 1000000,ABB,74
less than 1000000,ABB,71.9
less than 1000000,ABB,51.4
less than 1000000,ABB,74.2
less than 1000000,ABB,72.5
less than 1000000,ABB,73.8
less than 1000000,ABB,73.1
less than 1000000,ABB,83
less than 1000000,ABB,73.1
less than 1000000,ABB,74.2
less than 1000000,ABB,74
less than 1000000,ABB,73.9
less than 1000000,ABB,74.2
less than 1000000,ABB,64.9
less than 1000000,ABB,73
less than 1000000,ABB,71.2
less than 1000000,ABB,73.6
less than 1000000,ABB,71.9
less than 1000000,ABB,62.6
less than 1000000,ABB,69.7
less than 1000000,ABB,72.8
less than 1000000,ABB,89
less than 1000000,ABB,59.5
less than 1000000,ABB,78.8
less than 1000000,ABB,72.9
less than 1000000,ABB,65.5
less than 1000000,ABB,66.1
less than 1000000,ABB,73
less than 1000000,ABB,73.2
less than 1000000,ABB,77.7
less than 1000000,ABB,64.3
less than 1000000,ABB,73.5
less than 1000000,ABB,66.6
less than 1000000,ABB,79.6
less than 1000000,ABB,73.3
less than 1000000,ABB,63.7
less than 1000000,ABB,79.5
less than 1000000,ABB,65.1
less than 1000000,ABB,73.5
less than 1000000,ABB,62.3
less than 1000000,ABB,65.7
less than 1000000,ABB,57.2
less than 1000000,ABB,59
less than 1000000,ABB,73.4
less than 1000000,ABB,72
less than 1000000,ABB,66.2
less than 1000000,ABB,65.8
less than 1000000,ABB,72
less than 1000000,ABB,65.8
less than 1000000,ABB,69
less than 1000000,ABB,78.2
less than 1000000,ABB,72.6
less than 1000000,ABB,71.5
less than 1000000,ABB,67.1
less than 1000000,ABB,72.9
less than 1000000,ABB,72.7
less than 1000000,ABB,69.1
less than 1000000,ABB,73.7
less than 1000000,ABB,54.2
less than 1000000,ABB,79.5
less than 1000000,ABB,66.6
less than 1000000,ABB,79
less than 1000000,ABB,69.1
less than 1000000,ABB,73.8
less than 1000000,ABB,64.4
less than 1000000,ABB,79.1
less than 1000000,ABB,74.2
less than 1000000,ABB,79.9
less than 1000000,ABB,45.6
less than 1000000,ABB,73.7
less than 1000000,ABB,73.6
less than 1000000,ABB,72.3
less than 1000000,ABB,79.3
less than 1000000,ABB,76.2
less than 1000000,ABB,71.8
less than 1000000,ABB,86
less than 1000000,ABB,62.4
less than 1000000,ABB,49.4
less than 1000000,ABB,78
less than 1000000,ABB,75
less than 1000000,ABB,78
less than 1000000,ABB,81
less than 1000000,ABB,69.6
less than 1000000,ABB,62.8
less than 1000000,ABB,51.1
less than 1000000,ABB,67.1
less than 1000000,ABB,74.4
less than 1000000,ABB,71.7
less than 1000000,ABB,73.6
less than 1000000,ABB,67.3
less than 1000000,ABB,87
less than 1000000,ABB,68.5
less than 1000000,ABB,72
less than 1000000,ABB,67.8
less than 1000000,ABB,78.1
less than 1000000,ABB,68.4
less than 1000000,ABB,81.2
less than 1000000,ABB,67.9
less than 1000000,ABB,68.7
less than 1000000,ABB,79.7
less than 1000000,ABB,81.3
less than 1000000,ABB,74.7
less than 1000000,ABB,77.8
less than 1000000,ABB,73.8
less than 1000000,ABB,54.7
less than 1000000,ABB,58
less than 1000000,ABB,88
less than 1000000,ABB,73.6
less than 1000000,ABB,72.9
less than 1000000,ABB,74.6
less than 1000000,ABB,75.9
less than 1000000,ABB,69.4
less than 1000000,ABB,73.2
less than 1000000,ABB,69.6
less than 1000000,ABB,79.5
less than 1000000,ABB,66
less than 1000000,ABB,79.7
less than 1000000,ABB,72.7
less than 1000000,ABB,79.4
less than 1000000,ABB,81.8
less than 1000000,ABB,82.1
less than 1000000,ABB,80
less than 1000000,ABB,69.5
less than 1000000,ABB,81
less than 1000000,ABB,69.1
less than 1000000,ABB,82.5
