state,longitude,latitude,count
California,-122.8,38.5,95
California,-122.7,38.5,1118
California,-122.5,37.7,20672
California,-122.5,37.8,26481
California,-122.4,37.5,1
California,-122.4,37.7,42805
California,-122.4,37.8,83729
California,-122.3,37.8,13139
California,-122.3,37.9,580
California,-122.2,37.7,1770
California,-122.2,37.8,18458
California,-122.2,37.9,230
California,-122.1,37.7,366
California,-122.1,37.8,315
California,-122.0,37.2,26
California,-122.0,37.3,22796
California,-122.0,37.4,1407
California,-121.9,37.2,23090
California,-121.9,37.3,82637
California,-121.9,37.4,30831
California,-121.9,37.5,1
California,-121.8,37.2,23486
California,-121.8,37.3,66314
California,-121.8,37.4,12065
California,-121.7,37.2,382
California,-121.7,37.3,1770
California,-121.6,38.2,127
California,-121.6,38.4,12
California,-121.6,38.5,206
California,-121.6,38.6,77
California,-121.6,38.7,176
California,-121.5,38.4,650
California,-121.5,38.5,13987
California,-121.5,38.6,38347
California,-121.5,38.7,9537
California,-121.4,37.9,11
California,-121.4,38.0,5938
California,-121.4,38.1,2709
California,-121.4,38.3,350
California,-121.4,38.4,1883
California,-121.4,38.5,7223
California,-121.4,38.6,10334
California,-121.4,38.7,409
California,-121.3,37.9,10167
California,-121.3,38.0,49532
California,-121.3,38.1,1362
California,-121.3,38.2,147
California,-121.3,38.3,148
California,-121.3,38.6,20
California,-121.2,37.9,1176
California,-121.2,38.0,386
California,-121.2,38.7,353
California,-121.0,35.5,123
California,-120.8,35.3,24
California,-120.7,35.3,32
California,-120.6,35.1,44
California,-120.6,35.4,729
California,-120.5,34.9,14
California,-120.5,35.4,2803
California,-120.4,34.9,5283
California,-120.4,35.3,247
California,-120.4,36.1,2
California,-120.3,35.3,131
California,-120.3,35.4,22
California,-120.2,35.4,6
California,-120.0,35.3,182
California,-120.0,35.4,122
California,-119.9,35.3,398
California,-119.9,36.3,49
California,-119.8,36.3,13
California,-119.7,36.3,87
California,-119.6,36.3,853
California,-119.5,35.4,34
California,-119.5,36.1,4
California,-119.3,35.6,8
California,-119.3,36.3,2
California,-118.8,34.2,21
California,-118.7,34.2,301
California,-118.7,35.9,211
California,-118.6,34.0,1104
California,-118.6,34.1,2200
California,-118.6,34.2,29600
California,-118.6,34.3,6766
California,-118.6,34.5,757
California,-118.6,35.1,11
California,-118.6,35.9,425
California,-118.5,34.0,13132
California,-118.5,34.1,19801
California,-118.5,34.2,33708
California,-118.5,34.3,21811
California,-118.5,35.4,10
California,-118.4,33.9,199
California,-118.4,34.0,34885
California,-118.4,34.1,46273
California,-118.4,34.2,58731
California,-118.4,34.3,10020
California,-118.3,33.7,2761
California,-118.3,33.8,5600
California,-118.3,33.9,1489
California,-118.3,34.0,19115
California,-118.3,34.1,42626
California,-118.3,34.2,1774
California,-118.3,34.3,4120
California,-118.3,35.3,3214
California,-118.2,33.8,209
California,-118.2,33.9,416
California,-118.2,34.0,3364
California,-118.2,34.1,32809
California,-118.2,35.7,3
California,-118.1,33.7,2486
California,-118.1,34.7,12
California,-118.0,33.6,1910
California,-118.0,33.7,49032
California,-118.0,33.8,27301
California,-118.0,33.9,1188
California,-118.0,35.1,3552
California,-117.9,33.7,1468
California,-117.9,33.8,45674
California,-117.9,33.9,4025
California,-117.9,35.1,251
California,-117.9,35.2,10
California,-117.8,33.8,2743
California,-117.8,33.9,8245
California,-117.8,35.2,491
California,-117.7,33.8,314
California,-117.7,33.9,874
California,-117.7,34.0,5718
California,-117.7,34.1,13885
California,-117.6,33.9,3
California,-117.6,34.0,14418
California,-117.6,34.1,65454
California,-117.6,34.2,6380
California,-117.6,35.4,42
California,-117.5,34.0,1121
California,-117.5,34.1,26256
California,-117.5,34.2,4225
California,-117.4,34.2,5
California,-117.3,32.7,1665
California,-117.3,32.8,9989
California,-117.3,32.9,1097
California,-117.3,33.0,293
California,-117.2,32.7,20441
California,-117.2,32.8,32032
California,-117.2,32.9,20641
California,-117.2,33.0,6603
California,-117.1,32.5,658
California,-117.1,32.6,6721
California,-117.1,32.7,29712
California,-117.1,32.8,31274
California,-117.1,32.9,18156
California,-117.1,33.0,15802
California,-117.1,33.1,121
California,-117.0,32.5,610
California,-117.0,32.6,5759
California,-117.0,32.7,4991
California,-117.0,32.8,4014
California,-117.0,33.0,276
California,-117.0,33.1,19
California,-116.9,32.6,1455
California,-116.0,34.8,2
Colorado,-105.6,39.7,46
Colorado,-105.4,39.7,516
Colorado,-105.3,39.5,1
Colorado,-105.3,39.6,779
Colorado,-105.3,39.7,1573
Colorado,-105.2,39.7,744
Colorado,-105.1,39.6,3504
Colorado,-105.1,39.7,3004
Colorado,-105.1,39.8,2879
Colorado,-105.0,39.6,1180
Colorado,-105.0,39.7,92104
Colorado,-105.0,39.8,45364
Colorado,-104.9,38.8,406
Colorado,-104.9,38.9,582
Colorado,-104.9,39.0,32
Colorado,-104.9,39.5,63
Colorado,-104.9,39.6,5749
Colorado,-104.9,39.7,82101
Colorado,-104.9,39.8,32430
Colorado,-104.8,38.8,4119
Colorado,-104.8,38.9,6626
Colorado,-104.8,39.0,195
Colorado,-104.8,39.6,6873
Colorado,-104.8,39.7,33229
Colorado,-104.8,39.8,20587
Colorado,-104.7,38.8,1902
Colorado,-104.7,38.9,935
Colorado,-104.7,39.0,111
Colorado,-104.7,39.6,1339
Colorado,-104.7,39.7,706
Colorado,-104.7,39.8,5165
Colorado,-104.7,39.9,26
Colorado,-104.6,39.8,1
Colorado,-104.6,39.9,5
District of Columbia,-77.1,38.9,27212
District of Columbia,-77.1,39.0,11527
District of Columbia,-77.0,38.8,10164
District of Columbia,-77.0,38.9,90963
