state,longitude,latitude,scientific_name,count
California,-122.8,38.5,Others,72
California,-122.8,38.5,Platanus acerifolia,22
California,-122.8,38.5,Prunus,1
California,-122.7,38.5,Others,1031
California,-122.7,38.5,Liquidambar styraciflua,1
California,-122.7,38.5,Platanus acerifolia,65
California,-122.7,38.5,Prunus,21
California,-122.5,37.7,Others,19752
California,-122.5,37.7,Acer rubrum,45
California,-122.5,37.7,Gleditsia triacanthos,7
California,-122.5,37.7,Lagerstroemia indica,23
California,-122.5,37.7,Liquidambar styraciflua,157
California,-122.5,37.7,Platanus acerifolia,370
California,-122.5,37.7,Prunus,33
California,-122.5,37.7,Pyrus calleryana,283
California,-122.5,37.7,Tilia cordata,2
California,-122.5,37.8,Others,24727
California,-122.5,37.8,Acer platanoides,1
California,-122.5,37.8,Acer rubrum,26
California,-122.5,37.8,Gleditsia triacanthos,12
California,-122.5,37.8,Lagerstroemia indica,5
California,-122.5,37.8,Liquidambar styraciflua,200
California,-122.5,37.8,Platanus acerifolia,1106
California,-122.5,37.8,Prunus,33
California,-122.5,37.8,Pyrus calleryana,357
California,-122.5,37.8,Tilia cordata,14
California,-122.4,37.5,Platanus acerifolia,1
California,-122.4,37.7,Others,40133
California,-122.4,37.7,Acer rubrum,254
California,-122.4,37.7,Gleditsia triacanthos,35
California,-122.4,37.7,Lagerstroemia indica,28
California,-122.4,37.7,Liquidambar styraciflua,219
California,-122.4,37.7,Platanus acerifolia,1018
California,-122.4,37.7,Prunus,40
California,-122.4,37.7,Pyrus calleryana,1068
California,-122.4,37.7,Tilia cordata,10
California,-122.4,37.8,Others,70090
California,-122.4,37.8,Acer platanoides,1
California,-122.4,37.8,Acer rubrum,643
California,-122.4,37.8,Gleditsia triacanthos,63
California,-122.4,37.8,Lagerstroemia indica,46
California,-122.4,37.8,Liquidambar styraciflua,985
California,-122.4,37.8,Platanus acerifolia,9381
California,-122.4,37.8,Prunus,94
California,-122.4,37.8,Pyrus calleryana,2321
California,-122.4,37.8,Tilia cordata,105
California,-122.3,37.8,Others,7601
California,-122.3,37.8,Gleditsia triacanthos,158
California,-122.3,37.8,Lagerstroemia indica,665
California,-122.3,37.8,Liquidambar styraciflua,900
California,-122.3,37.8,Platanus acerifolia,1872
California,-122.3,37.8,Prunus,1015
California,-122.3,37.8,Pyrus calleryana,928
California,-122.3,37.9,Others,286
California,-122.3,37.9,Gleditsia triacanthos,30
California,-122.3,37.9,Lagerstroemia indica,18
California,-122.3,37.9,Liquidambar styraciflua,102
California,-122.3,37.9,Platanus acerifolia,71
California,-122.3,37.9,Prunus,67
California,-122.3,37.9,Pyrus calleryana,6
California,-122.2,37.7,Others,984
California,-122.2,37.7,Acer rubrum,15
California,-122.2,37.7,Lagerstroemia indica,71
California,-122.2,37.7,Liquidambar styraciflua,198
California,-122.2,37.7,Platanus acerifolia,289
California,-122.2,37.7,Prunus,98
California,-122.2,37.7,Pyrus calleryana,115
California,-122.2,37.8,Others,10787
California,-122.2,37.8,Acer rubrum,61
California,-122.2,37.8,Gleditsia triacanthos,33
California,-122.2,37.8,Lagerstroemia indica,1109
California,-122.2,37.8,Liquidambar styraciflua,1845
California,-122.2,37.8,Platanus acerifolia,1458
California,-122.2,37.8,Prunus,1588
California,-122.2,37.8,Pyrus calleryana,1577
California,-122.2,37.9,Others,171
California,-122.2,37.9,Liquidambar styraciflua,6
California,-122.2,37.9,Platanus acerifolia,28
California,-122.2,37.9,Prunus,24
California,-122.2,37.9,Pyrus calleryana,1
California,-122.1,37.7,Others,113
California,-122.1,37.7,Lagerstroemia indica,34
California,-122.1,37.7,Liquidambar styraciflua,149
California,-122.1,37.7,Platanus acerifolia,55
California,-122.1,37.7,Prunus,15
California,-122.1,37.8,Others,199
California,-122.1,37.8,Lagerstroemia indica,18
California,-122.1,37.8,Liquidambar styraciflua,76
California,-122.1,37.8,Prunus,20
California,-122.1,37.8,Pyrus calleryana,2
California,-122.0,37.2,Others,20
