SalePrice,GrLivArea,Country
58.19,15.58,Afghanistan
75.16,1.7,Albania
73.62,5.98,Algeria
49.02,6.67,Angola
75.06,3.38,Antigua and Barbuda
75.16,0.95,Argentina
73.4,2.11,Armenia
81.81,0.62,Australia
81.48,1.94,Austria
70.73,2.94,Azerbaijan
74.29,2.52,Bahamas
75.72,5.95,Bahrain
69.3,14.33,Bangladesh
74.36,3.92,Barbados
69.91,2.34,Belarus
80.68,0.86,Belgium
69.27,3.49,Belize
57.57,8.14,Benin
66.16,17.92,Bhutan
67.71,1.19,Bolivia (Plurinational State of)
75.97,2.76,Bosnia and Herzegovina
56.05,7.81,Botswana
73.38,3.01,Brazil
76.49,5.68,Brunei Darussalam
72.85,2.16,Bulgaria
55.64,6.98,Burkina Faso
55.54,8.01,Burundi
50.39,6.69,Côte d'Ivoire
72.52,7.98,Cabo Verde
64.34,10.88,Cambodia
54.02,6.61,Cameroon
81.69,0.44,Canada
48.51,7.09,Central African Republic
50.39,7.04,Chad
79.45,0.91,Chile
74.26,4.02,China
73.29,2.08,Colombia
61.58,7.16,Comoros
59.04,8.12,Congo
null,0.1,Cook Islands
78.59,1.91,Costa Rica
76.12,1.72,Croatia
77.98,3.27,Cuba
79.68,1,Cyprus
76.77,2.06,Czechia
69.19,5.45,Democratic People's Republic of Korea
55.69,7.96,Democratic Republic of the Congo
79.26,0.94,Denmark
60.76,5.7,Djibouti
null,2.6,Dominica
72.34,3.38,Dominican Republic
74.72,1.27,Ecuador
71.5,3.08,Egypt
71.74,1.72,El Salvador
55.31,6.6,Equatorial Guinea
60.69,8.02,Eritrea
74.94,2.14,Estonia
59.11,6.48,Ethiopia
68.71,3.79,Fiji
80.71,0.81,Finland
82.22,0.6,France
62.24,6.78,Gabon
59.46,7.51,Gambia
73.51,2.89,Georgia
81.18,1.11,Germany
60.86,7.58,Ghana
81.22,0.73,Greece
73.29,3.93,Grenada
71.73,1.34,Guatemala
56.01,7.62,Guinea
55.37,7.38,Guinea-Bissau
65.64,5.47,Guyana
59.87,4.26,Haiti
72.99,2.34,Honduras
73.82,1.91,Hungary
82.44,0.9,Iceland
65.42,27.94,India
67.56,3.94,Indonesia
73.86,7.96,Iran (Islamic Republic of)
70.36,5.16,Iraq
80.15,0.22,Ireland
81.3,1.1,Israel
82.19,0.52,Italy
74.29,1.74,Jamaica
82.54,1.54,Japan
72.99,3.87,Jordan
66.76,2.54,Kazakhstan
57.48,8.29,Kenya
65.15,0.14,Kiribati
73.84,3.16,Kuwait
69.08,3.41,Kyrgyzstan
62.38,6.38,Lao People's Democratic Republic
73.73,2.43,Latvia
74.2,4.72,Lebanon
48.78,7.07,Lesotho
57.52,7.76,Liberia
72.49,5.43,Libya
72.81,2.97,Lithuania
80.78,0.91,Luxembourg
62.74,7.78,Madagascar
49.89,6.99,Malawi
73.76,8.41,Malaysia
75.54,14.29,Maldives
54.94,6.35,Mali
80.36,0.71,Malta
null,0.1,Marshall Islands
62.8,6.82,Mauritania
72.71,7.41,Mauritius
75.72,1.67,Mexico
68.2,0.21,Micronesia (Federated States of)
null,null,Monaco
65.89,2.39,Mongolia
74.5,2.19,Montenegro
72.16,6.31,Morocco
53.39,3.72,Mozambique
64.2,13.42,Myanmar
60.4,10.71,Namibia
null,0.1,Nauru
66.48,17.67,Nepal
81.13,0.96,Netherlands
81.34,0.3,New Zealand
73.45,1.88,Nicaragua
56.98,8.91,Niger
51.36,10.37,Nigeria
null,0.1,Niue
81.79,0.7,Norway
74.84,6.82,Oman
64.5,15.51,Pakistan
null,0.1,Palau
76.49,2.02,Panama
61.68,1.36,Papua New Guinea
73.11,2.12,Paraguay
73.66,1.22,Peru
67.58,9.69,Philippines
75.65,2.36,Poland
79.99,0.54,Portugal
77.03,4.59,Qatar
80.49,1.02,Republic of Korea
69.98,3.2,Republic of Moldova
74.05,3.51,Romania
67.76,2.61,Russian Federation
59.31,6.66,Rwanda
null,3.6,Saint Kitts and Nevis
73.6,4.38,Saint Lucia
73.48,3.61,Saint Vincent and the Grenadines
73.62,0.17,Samoa
null,null,San Marino
65.16,6.56,Sao Tome and Principe
73.47,7.37,Saudi Arabia
62.57,7.99,Senegal
73.96,2.42,Serbia
72.38,6.3,Seychelles
46.11,7.1,Sierra Leone
81.48,2.07,Singapore
74.75,1.42,Slovakia
79.73,1.79,Slovenia
67.71,1.26,Solomon Islands
53.32,7.08,Somalia
57.5,11.08,South Africa
53.88,null,South Sudan
82.07,0.5,Spain
73.4,15.37,Sri Lanka
61.82,null,Sudan
70.08,3.46,Suriname
51.32,6.63,Swaziland
82.52,1.31,Sweden
82.33,0.39,Switzerland
70.85,6.26,Syrian Arab Republic
66.66,3.85,Tajikistan
73.08,8.7,Thailand
74.11,2.46,The former Yugoslav republic of Macedonia
64.76,11.69,Timor-Leste
56.66,7.74,Togo
72.53,0.1,Tonga
71.07,6.51,Trinidad and Tobago
74.36,6.34,Tunisia
73.91,4.85,Turkey
64.62,3.36,Turkmenistan
null,0.1,Tuvalu
55.71,6.26,Uganda
69.94,2.68,Ukraine
75.7,4.97,United Arab Emirates
80.79,0.51,United Kingdom of Great Britain and Northern Ireland
56.01,7.36,United Republic of Tanzania
78.06,0.61,United States of America
76.08,1.54,Uruguay
68.03,3.18,Uzbekistan
71.39,1.49,Vanuatu
73.39,1.56,Venezuela (Bolivarian Republic of)
74.78,15.62,Viet Nam
63.86,13.75,Yemen
53.91,6.76,Zambia
50.49,6.99,Zimbabwe
